date begin,date end,score,number of words,pos_simple,neg_simple
2015-06-22 00:00:00,2015-06-28 00:00:00,0.025817440403615086,393,3,8
2015-06-15 00:00:00,2015-06-21 00:00:00,0.005788717569687544,390,6,8
2015-06-08 00:00:00,2015-06-14 00:00:00,0.01730688310706643,488,5,20
2015-06-01 00:00:00,2015-06-07 00:00:00,0.022456519689522513,390,7,16
2015-05-25 00:00:00,2015-05-31 00:00:00,0.005480049349636128,377,9,8
2015-05-18 00:00:00,2015-05-24 00:00:00,0.018468183055855777,404,3,16
2015-05-11 00:00:00,2015-05-17 00:00:00,0.006211490396599471,370,4,7
2015-05-04 00:00:00,2015-05-10 00:00:00,0.021034099141813714,356,6,5
2015-04-27 00:00:00,2015-05-03 00:00:00,0.02005455790454347,411,12,9
2015-04-20 00:00:00,2015-04-26 00:00:00,0.014995786932329199,378,5,8
2015-04-13 00:00:00,2015-04-19 00:00:00,0.011673174894383272,490,7,23
2015-04-06 00:00:00,2015-04-12 00:00:00,0.010487670874780416,384,6,2
2015-03-30 00:00:00,2015-04-05 00:00:00,-0.002532622532776444,407,4,22
2015-03-23 00:00:00,2015-03-29 00:00:00,0.004798774446740371,514,6,12
2015-03-16 00:00:00,2015-03-22 00:00:00,-0.0076757429222280606,388,8,16
2015-03-09 00:00:00,2015-03-15 00:00:00,0.033993529851149146,318,5,5
2015-03-02 00:00:00,2015-03-08 00:00:00,0.0004429724955663885,479,3,10
2015-02-23 00:00:00,2015-03-01 00:00:00,-0.0013328432843309201,420,3,9
2015-02-16 00:00:00,2015-02-22 00:00:00,0.00813298604428864,418,3,6
2015-02-09 00:00:00,2015-02-15 00:00:00,0.020809352804448396,408,5,2
2015-02-02 00:00:00,2015-02-08 00:00:00,0.007381560563222773,524,10,9
2015-01-26 00:00:00,2015-02-01 00:00:00,0.01513023294243491,459,6,10
2015-01-19 00:00:00,2015-01-25 00:00:00,0.022272318828208883,401,9,17
2015-01-12 00:00:00,2015-01-18 00:00:00,0.010732234962288345,465,5,29
2015-01-05 00:00:00,2015-01-11 00:00:00,0.018191691770547518,425,4,8
2014-12-29 00:00:00,2015-01-04 00:00:00,0.01462363363261091,347,7,11
2014-12-22 00:00:00,2014-12-28 00:00:00,0.016658719393030944,458,6,10
2014-12-15 00:00:00,2014-12-21 00:00:00,0.005139390518152516,544,7,29
2014-12-08 00:00:00,2014-12-14 00:00:00,0.0059294931744652305,377,3,7
2014-12-01 00:00:00,2014-12-07 00:00:00,0.013780977279345295,463,3,20
2014-11-24 00:00:00,2014-11-30 00:00:00,0.0026495550305724955,355,3,3
2014-11-17 00:00:00,2014-11-23 00:00:00,0.004759170056612368,409,4,12
2014-11-10 00:00:00,2014-11-16 00:00:00,0.004851583401799494,422,6,8
2014-11-03 00:00:00,2014-11-09 00:00:00,0.013598115444956274,476,5,20
2014-10-27 00:00:00,2014-11-02 00:00:00,0.020614703822716633,474,0,6
2014-10-20 00:00:00,2014-10-26 00:00:00,0.012745775230326476,469,7,11
2014-10-13 00:00:00,2014-10-19 00:00:00,0.01453204437162246,385,3,8
2014-10-06 00:00:00,2014-10-12 00:00:00,0.009243490443409948,471,4,8
2014-09-29 00:00:00,2014-10-05 00:00:00,0.02379973846619623,473,11,21
2014-09-22 00:00:00,2014-09-28 00:00:00,0.022803168839870585,421,4,11
2014-09-15 00:00:00,2014-09-21 00:00:00,0.031695616845291374,517,6,10
2014-09-08 00:00:00,2014-09-14 00:00:00,0.03548729463027103,390,6,7
2014-09-01 00:00:00,2014-09-07 00:00:00,0.013259015739315174,481,8,23
2014-08-25 00:00:00,2014-08-31 00:00:00,0.00618207443005539,537,7,23
2014-08-18 00:00:00,2014-08-24 00:00:00,-0.0017140574317261392,374,4,20
2014-08-11 00:00:00,2014-08-17 00:00:00,0.019376084393973998,441,3,8
2014-08-04 00:00:00,2014-08-10 00:00:00,0.0021174022919576985,467,4,17
2014-07-28 00:00:00,2014-08-03 00:00:00,0.014033900789356141,459,5,11
2014-07-21 00:00:00,2014-07-27 00:00:00,0.00782735893386947,336,4,22
2014-07-14 00:00:00,2014-07-20 00:00:00,0.007860390687626704,470,5,11
2014-07-07 00:00:00,2014-07-13 00:00:00,0.011231012132239395,446,3,15
2014-06-30 00:00:00,2014-07-06 00:00:00,0.013476998458794822,484,4,13
2014-06-23 00:00:00,2014-06-29 00:00:00,0.013319548962981933,493,4,7
2014-06-16 00:00:00,2014-06-22 00:00:00,-0.002156153842478557,415,4,11
2014-06-09 00:00:00,2014-06-15 00:00:00,-0.0030391882215954078,420,5,14
2014-06-02 00:00:00,2014-06-08 00:00:00,0.029435054863312302,540,6,17
2014-05-26 00:00:00,2014-06-01 00:00:00,0.02559569754653256,482,7,4
2014-05-19 00:00:00,2014-05-25 00:00:00,0.014391782465622048,464,8,8
2014-05-12 00:00:00,2014-05-18 00:00:00,0.015256399462025772,480,8,16
2014-05-05 00:00:00,2014-05-11 00:00:00,0.005195236272174445,492,2,13
2014-04-28 00:00:00,2014-05-04 00:00:00,0.017851967296640698,407,9,28
2014-04-21 00:00:00,2014-04-27 00:00:00,0.0007260414199169891,404,4,19
2014-04-14 00:00:00,2014-04-20 00:00:00,0.023782739317078347,446,7,3
2014-04-07 00:00:00,2014-04-13 00:00:00,0.0009031441028796317,471,1,12
2014-03-31 00:00:00,2014-04-06 00:00:00,0.015205147129908201,414,3,12
2014-03-24 00:00:00,2014-03-30 00:00:00,0.009830536866766841,438,3,8
