timestamp,open,high,low,volume,dividend amount,firstDiffAbs,firstDiff_%,ROC_2,score,pos_simple,neg_simple,Action,n-1,n-2,n-3,adjusted close
8/11/00,47.88,49.06,45.56,22025600,0,0.0197,0.650293788,-0.046218752,0.004657991,7,17,Call,0.9497,0.9846,1.017,3.0294
8/18/00,47.59,52.44,46.31,15635900,0,0.1468,4.621875197,-0.119873642,0.002319336,7,17,Call,0.9503,1.1117,1.1904,3.1762
8/25/00,50.25,57.5,49.63,23095700,0,0.4326,11.98736422,-0.104493908,0.018614184,7,12,Call,0.9528,0.9389,0.923,3.6088
9/1/00,57.25,63.63,57.06,28355300,0,0.4211,10.4493908,0.077426944,0.017591345,5,17,Put,0.9528,0.9319,0.8989,4.0299
9/8/00,62.66,64.12,57.75,19054100,0,-0.2896,-7.742694436,0.066098506,-4.07E-05,10,13,Put,0.9528,0.9179,0.9109,3.7403
9/15/00,58.69,60.38,54.25,26829100,0,-0.2319,-6.609850644,0.058245106,0.014591065,14,16,Put,0.9528,0.8931,0.9567,3.5084
9/22/00,55.25,61.44,50,38582600,0,-0.1931,-5.824510602,1.026838662,0.014108718,8,16,Put,0.9535,0.9528,0.9319,3.3153
9/29/00,52.75,55.5,25.37,170178100,0,-1.6796,-102.6838662,0.160400114,0.006891613,14,32,Put,0.9567,1.0837,1.2266,1.6357
10/6/00,26.69,26.75,21,132403500,0,-0.2261,-16.04001135,0.005923071,0.005737345,11,28,Put,0.9795,0.9109,0.9217,1.4096
10/13/00,22.62,22.87,19.12,87962600,0,-0.0083,-0.592307143,0.131266651,-0.001814728,14,32,Put,0.9846,1.017,1.0132,1.4013
10/20/00,22.31,23.25,18.31,81324100,0,-0.1626,-13.12666505,0.050636132,0.009448611,10,23,Put,0.9852,0.9992,1.1034,1.2387
10/27/00,20.27,20.87,17.5,62251200,0,-0.0597,-5.063613232,-0.165841234,0.007278892,10,13,Call,0.9992,1.0043,0.9528,1.179
11/3/00,19.12,23,18.75,57267000,0,0.2344,16.58412339,0.167327387,0.015258092,13,20,Put,0.9992,1.1034,1.0977,1.4134
11/10/00,22.44,22.62,19.06,36011000,0,-0.2026,-16.73273869,0.030292716,0.008724292,11,33,Put,1.0043,0.9528,0.9179,1.2108
11/17/00,18.75,20.5,18.25,32298700,0,-0.0356,-3.029271613,-0.041904451,0.018811285,9,24,Call,1.0062,1.0392,0.9795,1.1752
11/24/00,18.59,19.5,18.25,20562200,0,0.0514,4.190445133,0.131863062,0.004226719,4,21,Put,1.0132,1.0062,1.0392,1.2266
12/1/00,19.87,19.94,16.12,39560200,0,-0.1429,-13.18630617,0.132747988,0.002461654,7,17,Put,1.017,1.0132,1.0062,1.0837
12/8/00,17.19,17.44,14,57223300,0,-0.127,-13.27479879,0.07121263,0.005593927,2,51,Put,1.0253,0.9852,0.9992,0.9567
12/15/00,15.19,16,14,32873600,0,-0.0636,-7.121263016,-0.062657431,-0.004332009,4,32,Call,1.0392,0.9795,0.9109,0.8931
12/22/00,14.56,15.25,13.63,34822200,0,0.0597,6.265743073,0.008040626,0.015713161,12,12,Put,1.0399,0.9452,0.9528,0.9528
12/29/00,14.88,15,14.19,26389200,0,-0.0076,-0.804062632,-0.091066449,0.002465681,7,16,Call,1.0704,1.2768,1.3594,0.9452
1/5/01,14.88,18.5,14.44,43234600,0,0.0947,9.10664487,-0.047710623,0.010649776,11,28,Call,1.0837,1.2266,1.1752,1.0399
1/12/01,16.94,18.5,15.94,49473600,0,0.0521,4.771062271,-0.118430613,0.003956033,9,13,Call,1.0894,1.1402,1.1637,1.092
1/19/01,17.44,19.56,16.5,56261900,0,0.1467,11.84306127,-0.00305835,0.006149899,12,27,Call,1.092,1.0399,0.9452,1.2387
1/26/01,19.06,20.94,18.44,55151400,0,0.0038,0.30583501,-0.051454309,0.000860467,15,24,Call,1.0977,1.1784,1.1796,1.2425
2/2/01,19.56,22.5,19.56,54923100,0,0.0674,5.145430949,0.078462045,0.007226755,12,11,Put,1.1034,1.0977,1.1784,1.3099
2/9/01,20.5,21.39,18.69,41730800,0,-0.0953,-7.846204512,0.006379982,0.014567693,7,16,Put,1.1066,1.0894,1.1402,1.2146
2/16/01,19.06,20.56,18.5,24922100,0,-0.0077,-0.637998177,0.010042681,0.006598617,8,20,Put,1.1117,1.1904,1.1256,1.2069
2/23/01,19.19,19.94,18,25553200,0,-0.012,-1.00426814,-0.022816487,0.012886108,8,8,Call,1.1256,1.0704,1.2768,1.1949
3/2/01,19.06,20.44,17.19,32140200,0,0.0279,2.281648675,-0.0493664,0.016002084,12,35,Call,1.1402,1.1637,1.1942,1.2228
3/9/01,19.37,22.06,19.25,35348400,0,0.0635,4.936639975,0.032095001,0.001483693,5,11,Put,1.1441,1.0253,0.9852,1.2863
3/16/01,19.69,21.37,18.12,41281400,0,-0.04,-3.20950012,-0.146954141,2.83E-05,6,19,Call,1.1479,1.2082,1.2387,1.2463
3/23/01,19.75,23.56,19.37,51692500,0,0.2147,14.6954141,0.042082739,0.012246796,9,15,Put,1.1625,0.9179,0.848,1.461
3/30/01,23.13,23.75,21.13,51363400,0,-0.059,-4.208273894,0.071947397,0.015531642,7,7,Put,1.1625,1.1441,1.0253,1.402
4/6/01,22.09,22.66,18.75,38691700,0,-0.0941,-7.194739659,-0.081659879,0.017449407,8,11,Call,1.1637,1.1942,1.1625,1.3079
4/12/01,20.69,23.02,20.06,24231900,0,0.1163,8.165987923,-0.104614611,0.006565285,9,8,Call,1.1752,1.2108,1.4134,1.4242
4/20/01,22.09,25.75,19.6,82827500,0,0.1664,10.46146108,-0.044282882,0.017917791,9,16,Call,1.1784,1.1796,1.1479,1.5906
4/27/01,24.34,26.29,23.51,44681300,0,0.0737,4.428288169,0.017484869,0.008069654,11,10,Put,1.179,1.2387,1.4013,1.6643
5/4/01,26.7,27.12,23.96,33449100,0,-0.0286,-1.748486886,0.126903204,0.014595346,6,12,Put,1.1796,1.186,1.1625,1.6357
5/11/01,25.62,25.76,22.76,25158900,0,-0.1842,-12.69032036,-0.028902121,0.002456665,8,20,Call,1.1796,1.1479,1.2082,1.4515
5/18/01,22.89,25.5,22.75,24281200,0,0.0432,2.890212083,0.033822105,0.012926293,7,13,Put,1.186,1.1625,1.1441,1.4947
5/25/01,23.63,24.13,22.5,28311700,0,-0.0489,-3.382210541,0.089525245,0.009231511,7,4,Put,1.1885,1.1796,1.186,1.4458
6/1/01,22.32,22.5,19.3,39143500,0,-0.1188,-8.952524491,-0.020158015,0.013454466,6,22,Call,1.1898,1.2196,1.1066,1.327
6/8/01,21.08,21.7,20.33,29369600,0,0.0273,2.015801521,0.043052988,0.009535088,21,24,Put,1.1904,1.1256,1.0704,1.3543
6/15/01,21.05,21.73,19.35,33236700,0,-0.0559,-4.305298829,-0.08175389,0.012814081,8,14,Call,1.1942,1.1625,0.9179,1.2984
6/22/01,20.41,23,19.98,30821000,0,0.1156,8.175388967,-0.042589207,0.006819186,8,14,Call,1.1949,1.2069,1.2146,1.414
6/29/01,22.5,25.1,22.45,34826100,0,0.0629,4.258920712,0.055380878,0.008022606,9,18,Put,1.2044,1.2692,1.5786,1.4769
7/6/01,23.64,24.23,21.72,14246500,0,-0.0775,-5.538087752,-0.113518307,0.011634664,12,19,Call,1.205,1.1885,1.1796,1.3994
7/13/01,22.09,25.01,20.84,40585500,0,0.1792,11.35183074,0.243775607,0.003448729,8,20,Put,1.2069,1.2146,1.3099,1.5786
7/20/01,24.88,25.22,19.49,60164900,0,-0.3094,-24.37756067,0.053802723,0.028415019,17,13,Put,1.2082,1.2387,1.2044,1.2692
7/27/01,20.09,20.5,17.85,31015900,0,-0.0648,-5.380272335,-0.02769032,-0.003834836,7,11,Call,1.2108,1.4134,1.179,1.2044
8/3/01,19.12,19.9,18.51,21797600,0,0.0343,2.76903205,0.025244165,-0.00195852,8,11,Put,1.2146,1.3099,1.2425,1.2387
8/10/01,19.04,19.7,18.54,16642800,0,-0.0305,-2.524416487,0.052530708,0.003755282,5,9,Put,1.2152,1.1898,1.2196,1.2082
8/17/01,19.1,19.36,17.97,20763300,0,-0.0603,-5.253070825,-0.026873516,0.007737128,12,14,Call,1.2196,1.1066,1.0894,1.1479
8/24/01,18.14,18.62,17.58,19989100,0,0.0317,2.687351645,0.00101833,0.014566527,9,21,Put,1.2228,1.1949,1.2069,1.1796
8/31/01,18.6,19.3,17.28,20945500,0,-0.0012,-0.101832994,0.073517354,0.009411366,9,12,Put,1.2266,1.1752,1.2108,1.1784
9/7/01,18.5,19.08,17.2,22008400,0,-0.0807,-7.351735447,-0.005165851,0.006635117,12,15,Call,1.2387,1.2044,1.2692,1.0977
9/10/01,17,17.5,16.92,5515100,0,0.0057,0.516585101,0.104283427,-0.004266581,10,29,Put,1.2387,1.092,1.0399,1.1034
9/21/01,16,17.72,14.68,38216400,0,-0.1042,-10.42834267,0.014210313,0.009715871,10,16,Put,1.2387,1.4013,1.4096,0.9992
9/28/01,16.11,16.84,14.93,33037300,0,-0.014,-1.421031263,-0.039110504,0.009618349,7,22,Call,1.2425,1.2387,1.092,0.9852
10/5/01,15.49,16.25,14.83,33409700,0,0.0401,3.911050424,-0.103837077,0.007131494,12,8,Call,1.2463,1.2863,1.2228,1.0253
10/12/01,15.57,18.08,15.5,23424000,0,0.1188,10.38370772,-0.015827957,0.005021581,12,29,Call,1.2476,1.3168,1.3683,1.1441
10/19/01,17.95,18.41,16.96,28332200,0,0.0184,1.582795699,-0.019814503,0.008998363,9,17,Call,1.2514,1.327,1.3245,1.1625
10/26/01,18.21,19.42,17.75,35451100,0,0.0235,1.981450253,0.005425568,0.011886091,6,16,Put,1.252,1.2476,1.3168,1.186
11/2/01,18.57,18.86,17.06,23212400,0,-0.0064,-0.542556799,-0.007488431,0.005599477,9,35,Call,1.2603,1.205,1.1885,1.1796
11/9/01,18.84,20.13,18.53,25200700,0,0.0089,0.74884308,-0.013692946,0.00211496,6,27,Call,1.2609,1.2152,1.1898,1.1885
11/16/01,18.66,19.9,17.96,19482400,0,0.0165,1.369294606,-0.043878442,-0.007778029,8,11,Call,1.2692,1.5786,1.3994,1.205
11/23/01,19,20.2,18.96,15549300,0,0.0553,4.387844164,-0.068514412,0.009687256,10,22,Call,1.2768,1.3594,1.4801,1.2603
11/30/01,19.94,21.55,19.88,26545200,0,0.0927,6.851441242,-0.055035619,1.14E-05,6,34,Call,1.2863,1.2228,1.1949,1.353
12/7/01,21.06,24.03,20.6,29868100,0,0.0788,5.50356195,0.105466337,-0.005582359,12,28,Put,1.2883,1.3632,1.4293,1.4318
12/14/01,22.29,22.99,20.09,17065600,0,-0.1366,-10.54663372,-0.029085457,0.003298758,10,20,Call,1.2952,1.4318,1.353,1.2952
12/21/01,20.4,21.68,20.19,21001900,0,0.0388,2.908545727,-0.063728243,0.011562858,9,10,Call,1.2984,1.3543,1.327,1.334
12/28/01,20.9,23,20.9,12279700,0,0.0908,6.372824256,-0.053226128,0.013581235,4,9,Call,1.3079,1.402,1.461,1.4248
1/4/02,22.51,23.95,21.83,30165400,0,0.0801,5.322612798,0.125411307,0.02459072,20,13,Put,1.3099,1.2425,1.2387,1.5049
1/11/02,23.72,24,20.26,36142800,0,-0.1677,-12.54113072,-0.050486402,0.016663214,14,26,Call,1.3143,1.4344,1.4674,1.3372
1/18/02,21.01,22.74,20.5,40582100,0,0.0711,5.048640205,-0.046448642,0.011631062,10,21,Call,1.3168,1.3683,1.325,1.4083
1/25/02,22.27,23.51,21.59,23223400,0,0.0686,4.644864243,-0.047529988,0.014750273,9,17,Call,1.32,1.2514,1.327,1.4769
2/1/02,23.4,24.96,22.72,31519600,0,0.0737,4.752998839,0.01578775,0.013081242,9,26,Put,1.3245,1.3283,1.2883,1.5506
2/8/02,24.32,25.98,23.37,40714300,0,-0.0241,-1.578774975,0.005467,0.017216533,13,25,Put,1.325,1.2609,1.2152,1.5265
2/15/02,23.93,25.24,23.74,26002000,0,-0.0083,-0.54670004,0.051021115,-0.008604709,7,24,Put,1.3264,1.252,1.2476,1.5182
2/22/02,23.76,23.9,21.45,27302300,0,-0.0737,-5.102111457,-0.030276584,0.022070377,13,34,Call,1.327,1.3245,1.3283,1.4445
3/1/02,22.85,24.72,20.94,45054800,0,0.0451,3.027658432,-0.049090329,0.005108081,12,28,Call,1.327,1.4458,1.4947,1.4896
3/8/02,23.26,25.09,22.76,24592700,0,0.0769,4.909032876,-0.011609565,-0.003761939,8,13,Call,1.3283,1.2883,1.3632,1.5665
3/15/02,24.6,25.14,23.88,20996500,0,0.0184,1.160956527,0.035679279,0.007241211,10,26,Put,1.334,1.2952,1.4318,1.5849
3/22/02,24.95,25.3,23.26,29638700,0,-0.0546,-3.567927857,0.017757382,0.004525679,11,25,Put,1.3372,1.5049,1.4248,1.5303
3/28/02,24.07,24.09,23,13514800,0,-0.0267,-1.775738228,-0.043268007,0.014169864,6,8,Call,1.3518,1.32,1.2514,1.5036
4/5/02,24.7,25.19,23.28,22039600,0,0.068,4.326800713,-0.012752057,0.014325406,9,25,Call,1.353,1.2603,1.205,1.5716
4/12/02,24.16,25.2,23.78,25098600,0,0.0203,1.275205729,0.003214016,0.005880917,7,6,Put,1.3543,1.327,1.4458,1.5919
4/19/02,25.06,26.17,24.8,37273500,0,-0.0051,-0.321401563,0.085585277,0.010151498,9,19,Put,1.3594,1.4801,1.5341,1.5868
4/26/02,24.84,24.93,23,20402300,0,-0.1251,-8.558527742,-0.021226731,0.011624087,12,25,Call,1.3632,1.4293,1.454,1.4617
5/3/02,23.16,24.38,23.09,22108600,0,0.0317,2.122673095,0.008100446,0.004906843,13,21,Put,1.3683,1.325,1.2609,1.4934
5/10/02,23.35,24.52,22.14,24805500,0,-0.012,-0.810044552,-0.067539498,0.007957332,10,22,Call,1.3778,1.3143,1.4344,1.4814
5/17/02,23.52,25.98,22.94,28419400,0,0.1073,6.75394977,0.0355909,0.011236819,5,19,Put,1.3994,1.4769,1.414,1.5887
5/24/02,24.57,25.24,23.32,24595600,0,-0.0546,-3.55909002,0.036484021,0.011080875,6,34,Put,1.4013,1.4096,1.6357,1.5341
5/31/02,23.69,24.44,23.28,16667500,0,-0.054,-3.648402135,0.088789172,0.002508541,13,11,Put,1.402,1.461,1.2463,1.4801
6/7/02,23.39,23.45,20.93,30935500,0,-0.1207,-8.878917169,0.064692982,0.010084447,6,12,Put,1.4083,1.3372,1.5049,1.3594
6/14/02,21.48,21.84,18.11,34513800,0,-0.0826,-6.469298246,0.192825112,0.005297586,3,14,Put,1.4096,1.6357,3.3153,1.2768
6/21/02,20.24,20.63,16.79,57665200,0,-0.2064,-19.28251121,-0.049040512,0.014977804,6,5,Call,1.4134,1.179,1.2387,1.0704
6/28/02,16.77,17.82,15.98,32385800,0,0.0552,4.904051173,-0.054435484,0.018222888,11,13,Call,1.414,1.2984,1.3543,1.1256
7/5/02,17.71,18.75,16.75,15867100,0,0.0648,5.443548387,0.07079248,-0.000888833,12,16,Put,1.4229,1.461,1.4426,1.1904
7/12/02,18.52,18.79,16.97,26107200,0,-0.0787,-7.079247999,0.169841103,0.005810003,16,33,Put,1.4242,1.3079,1.402,1.1117
7/19/02,17.43,18.6,14.53,51837800,0,-0.1614,-16.98411028,0.043253925,0.019360082,13,15,Put,1.4248,1.334,1.2952,0.9503
7/26/02,14.75,15.22,13.8,34365000,0,-0.0394,-4.325392469,-0.007626103,0.023613843,9,12,Call,1.4293,1.454,1.4356,0.9109
8/2/02,14.48,15.51,14.25,24080600,0,0.007,0.762610306,-0.036628883,0.01203322,10,10,Call,1.4293,1.4363,1.3264,0.9179
8/9/02,14.51,15.38,13.97,22189600,0,0.0349,3.662888329,-0.051279498,-0.010931386,2,9,Call,1.4318,1.353,1.2603,0.9528
8/16/02,14.9,16.1,14.54,25286100,0,0.0515,5.127949816,0.005104083,0.001297807,7,21,Put,1.4331,1.4331,1.4432,1.0043
8/23/02,15.78,16.25,15.45,18342300,0,-0.0051,-0.510408327,0.06638207,0.023099047,16,10,Put,1.4331,1.4432,1.461,0.9992
8/30/02,15.95,15.95,14.51,18890400,0,-0.0622,-6.638207044,0.025725233,0.007833824,5,15,Put,1.4344,1.4674,1.4293,0.937
9/6/02,14.49,14.78,14.05,19738700,0,-0.0235,-2.572523262,0.014887235,0.008599978,8,11,Put,1.4356,1.4452,1.5042,0.9135
9/13/02,14.28,14.6,14.05,20766200,0,-0.0134,-1.488723475,-0.047109888,0.008218662,7,21,Call,1.4363,1.3264,1.252,0.9001
9/20/02,14.14,15.09,14.12,28607400,0,0.0445,4.710988778,0.010159341,0.013882689,8,13,Put,1.4426,1.4331,1.4331,0.9446
9/27/02,14.76,15.19,14.4,21140200,0,-0.0095,-1.015934125,0.049259425,0.014837818,11,16,Put,1.4432,1.461,1.3518,0.9351
10/4/02,14.4,14.63,14,21753400,0,-0.0439,-4.925942549,-0.033091027,0.007320274,5,14,Call,1.4445,1.5182,1.5265,0.8912
10/11/02,13.97,14.78,13.36,29844300,0,0.0305,3.309102745,0.011856406,0.002089682,8,18,Put,1.4452,1.5042,1.3778,0.9217
10/18/02,14.55,15.25,13.93,29734700,0,-0.0108,-1.185640575,-0.070035733,0.005953249,7,16,Call,1.4458,1.4947,1.4515,0.9109
10/25/02,14.26,15.45,14,19991500,0,0.0686,7.003573252,-0.057448037,0.003351644,12,4,Call,1.4515,1.6357,1.6643,0.9795
11/1/02,15.55,16.5,14.96,24371800,0,0.0597,5.744803695,0.032796661,0.009156325,6,24,Put,1.454,1.4356,1.4452,1.0392
11/8/02,16.5,17.38,15.52,23752600,0,-0.033,-3.27966607,-0.006908804,0.011892605,18,21,Call,1.461,1.4426,1.4331,1.0062
11/15/02,15.75,16.41,15.12,16271700,0,0.007,0.690880379,-0.00373648,0.03053835,10,12,Call,1.461,1.3518,1.32,1.0132
11/22/02,16.19,16.44,15.01,21975200,0,0.0038,0.373647984,0.032906764,0.006084291,13,18,Put,1.461,1.2463,1.2863,1.017
11/29/02,16.03,16.14,15.27,15534300,0,-0.0324,-3.290676417,0.036748447,0.008741016,6,6,Put,1.4617,1.5868,1.5919,0.9846
12/6/02,15.9,16.1,14.5,25734400,0,-0.0349,-3.674844688,0.010856839,0.01295712,6,8,Put,1.4674,1.4293,1.4363,0.9497
12/13/02,14.94,15.55,14.65,19862800,0,-0.0102,-1.085683874,0.045980851,0.009799352,13,11,Put,1.4769,1.4083,1.3372,0.9395
12/20/02,14.81,15.19,13.78,23046500,0,-0.0413,-4.598085059,0.005710447,0.001215879,11,25,Put,1.4769,1.414,1.2984,0.8982
12/27/02,14.16,14.81,14.01,5904000,0,-0.0051,-0.571044676,-0.056418384,0.012844726,9,14,Call,1.4801,1.5341,1.5887,0.8931
1/3/03,14.08,14.93,13.84,12225900,0,0.0534,5.641838352,0.012191209,0.010620159,12,22,Put,1.4814,1.4934,1.4617,0.9465
1/10/03,15.03,15.38,14.44,24158500,0,-0.0114,-1.21912095,0.043987942,0.013958342,3,9,Put,1.4896,1.4445,1.5182,0.9351
1/17/03,14.9,14.9,14.08,27906500,0,-0.0394,-4.398794239,0.021788729,0.003472756,7,39,Put,1.4934,1.4617,1.5868,0.8957
1/24/03,14.21,14.41,13.56,17898600,0,-0.0191,-2.178872918,-0.039026529,0.004218945,6,17,Call,1.4947,1.4515,1.6357,0.8766
1/31/03,13.68,15.07,13.65,32124800,0,0.0356,3.902652927,0.014795862,0.019541168,10,18,Put,1.5036,1.5303,1.5849,0.9122
2/7/03,14.41,14.93,14.07,22369000,0,-0.0133,-1.479586161,-0.035411525,0.014427224,15,25,Call,1.5042,1.3778,1.3143,0.8989
2/14/03,14.26,14.72,14.06,18091900,0,0.033,3.541152484,-0.021935348,0.002299091,7,16,Call,1.5049,1.4248,1.334,0.9319
2/21/03,14.75,15.3,14.65,16304700,0,0.0209,2.193534845,-0.000734137,0.006448463,9,21,Call,1.5182,1.5265,1.5506,0.9528
2/28/03,14.86,15.09,13.8,16704100,0,0.0007,0.073413739,0.03304442,0.009446612,7,12,Put,1.5195,1.4229,1.461,0.9535
3/7/03,15.01,15.16,14.31,13530400,0,-0.0305,-3.304442037,-0.016934711,0.014162383,15,17,Call,1.5265,1.5506,1.4769,0.923
3/14/03,14.51,15.01,14.06,17979800,0,0.0159,1.693471083,-0.014588581,0.005719618,6,12,Call,1.5303,1.5849,1.5665,0.9389
3/21/03,14.89,15.15,14.6,22006000,0,0.0139,1.458858102,0.029497569,0.010361915,12,19,Put,1.5341,1.5887,1.4814,0.9528
3/28/03,14.67,14.83,14.3,13836400,0,-0.0273,-2.949756888,0.011033428,0.005413571,12,42,Put,1.5506,1.4769,1.4083,0.9255
4/4/03,14.34,14.7,14.04,15609000,0,-0.0101,-1.103342801,0.091711389,0.006413985,10,19,Put,1.5665,1.4896,1.4445,0.9154
4/11/03,14.85,14.95,12.93,35220200,0,-0.0769,-9.171138939,0.00611951,0.005285532,26,34,Put,1.5716,1.5036,1.5303,0.8385
4/17/03,13.71,13.75,12.72,43560000,0,-0.0051,-0.611951044,-0.017216981,0.001005585,4,24,Call,1.5786,1.3994,1.4769,0.8334
4/25/03,13.13,13.63,12.98,21303500,0,0.0146,1.721698113,-0.076152086,0.003559088,7,16,Call,1.5849,1.5665,1.4896,0.848
5/2/03,13.48,14.59,13.43,39592000,0,0.0699,7.615208628,-0.210408602,0.008795,11,22,Call,1.5868,1.5919,1.5716,0.9179
5/9/03,14.77,18.4,14.75,96441100,0,0.2446,21.04086022,-0.026544967,0.01553613,9,19,Call,1.5887,1.4814,1.4934,1.1625
5/16/03,18.15,19,17.95,33005000,0,0.0317,2.654496734,0.026209504,0.005214747,8,26,Put,1.5906,1.4242,1.3079,1.1942
5/23/03,18.53,18.65,17.6,27719600,0,-0.0305,-2.620950417,0.020610419,0.007050745,6,25,Put,1.5919,1.5716,1.5036,1.1637
5/30/03,17.96,18.9,17.53,24041500,0,-0.0235,-2.061041922,0.046631173,0.020240036,10,12,Put,1.6357,1.6643,1.5906,1.1402
6/6/03,18.1,18.29,17.02,26741700,0,-0.0508,-4.663117312,-0.015543105,0.009818049,10,22,Call,1.6357,3.3153,3.5084,1.0894
6/13/03,16.94,17.95,16.63,19741900,0,0.0172,1.554310501,-0.092653329,0.010640899,8,21,Call,1.6376,1.7596,1.8536,1.1066
6/20/03,17.6,19.61,17.45,28733000,0,0.113,9.265332896,0.025046226,0.002706462,6,10,Put,1.6427,1.7507,1.6986,1.2196
6/27/03,19.301,19.69,18.48,29983100,0,-0.0298,-2.504622626,-0.020901909,0.009707634,8,10,Call,1.6643,1.5906,1.4242,1.1898
7/3/03,18.68,19.55,18.51,15468100,0,0.0254,2.090190915,-0.036243953,0.002517339,5,23,Call,1.6942,1.6376,1.7596,1.2152
7/11/03,19.27,20.5,19.13,19008000,0,0.0457,3.624395273,-0.048377358,0.003774263,10,17,Call,1.6986,1.5195,1.4229,1.2609
7/18/03,20.01,21.18,19.38,30286300,0,0.0641,4.837735849,-0.031645107,0.019594295,19,12,Call,1.7177,1.6427,1.7507,1.325
7/25/03,20.69,21.57,20.2999,17342700,0,0.0433,3.164510707,0.039109964,0.019479055,18,12,Put,1.7189,1.6942,1.6376,1.3683
